week,age_group,gender,weekly_deaths
2020-04,20-29,F,0.0
2020-04,20-29,M,0.0
2020-04,30-39,F,0.0
2020-04,30-39,M,0.0
2020-04,40-49,F,0.0
2020-04,40-49,M,0.0
2020-04,50-59,F,0.0
2020-04,50-59,M,0.0
2020-04,60+,F,0.0
2020-04,60+,M,0.0
2020-05,20-29,F,0.0
2020-05,20-29,M,0.0
2020-05,30-39,F,0.0
2020-05,30-39,M,0.0
2020-05,40-49,F,0.0
2020-05,40-49,M,0.0
2020-05,50-59,F,0.0
2020-05,50-59,M,0.0
2020-05,60+,F,0.0
2020-05,60+,M,0.0
2020-07,20-29,F,0.0
2020-07,20-29,M,0.0
2020-07,30-39,F,0.0
2020-07,30-39,M,0.0
2020-07,40-49,F,0.0
2020-07,40-49,M,0.0
2020-07,50-59,F,0.0
2020-07,50-59,M,0.0
2020-07,60+,F,5.0
2020-07,60+,M,3.0
2020-08,20-29,F,0.0
2020-08,20-29,M,0.0
2020-08,30-39,F,0.0
2020-08,30-39,M,0.0
2020-08,40-49,F,0.0
2020-08,40-49,M,0.0
2020-08,50-59,F,0.0
2020-08,50-59,M,0.0
2020-08,60+,F,18.0
2020-08,60+,M,61.0
2020-09,20-29,F,0.0
2020-09,20-29,M,0.0
2020-09,30-39,F,0.0
2020-09,30-39,M,2.0
2020-09,40-49,F,2.0
2020-09,40-49,M,3.0
2020-09,50-59,F,3.0
2020-09,50-59,M,15.0
2020-09,60+,F,202.0
2020-09,60+,M,449.0
2020-10,20-29,F,0.0
2020-10,20-29,M,0.0
2020-10,30-39,F,0.0
2020-10,30-39,M,4.0
2020-10,40-49,F,5.0
2020-10,40-49,M,11.0
2020-10,50-59,F,19.0
2020-10,50-59,M,49.0
2020-10,60+,F,734.0
2020-10,60+,M,1578.0
2020-11,20-29,F,2.0
2020-11,20-29,M,0.0
2020-11,30-39,F,5.0
2020-11,30-39,M,8.0
2020-11,40-49,F,12.0
2020-11,40-49,M,26.0
2020-11,50-59,F,37.0
2020-11,50-59,M,146.0
2020-11,60+,F,1423.0
2020-11,60+,M,3114.0
2020-12,20-29,F,1.0
2020-12,20-29,M,1.0
2020-12,30-39,F,0.0
2020-12,30-39,M,12.0
2020-12,40-49,F,14.0
2020-12,40-49,M,39.0
2020-12,50-59,F,50.0
2020-12,50-59,M,180.0
2020-12,60+,F,1969.0
2020-12,60+,M,3667.0
2020-13,20-29,F,0.0
2020-13,20-29,M,2.0
2020-13,30-39,F,5.0
2020-13,30-39,M,2.0
2020-13,40-49,F,11.0
2020-13,40-49,M,34.0
2020-13,50-59,F,34.0
2020-13,50-59,M,143.0
2020-13,60+,F,1796.0
2020-13,60+,M,2760.0
2020-14,20-29,F,0.0
2020-14,20-29,M,1.0
2020-14,30-39,F,5.0
2020-14,30-39,M,3.0
2020-14,40-49,F,12.0
2020-14,40-49,M,29.0
2020-14,50-59,F,24.0
2020-14,50-59,M,125.0
2020-14,60+,F,1820.0
2020-14,60+,M,2120.0
2020-15,20-29,F,0.0
2020-15,20-29,M,0.0
2020-15,30-39,F,5.0
2020-15,30-39,M,2.0
2020-15,40-49,F,7.0
2020-15,40-49,M,23.0
2020-15,50-59,F,36.0
2020-15,50-59,M,90.0
2020-15,60+,F,1710.0
2020-15,60+,M,1590.0
2020-16,20-29,F,0.0
2020-16,20-29,M,1.0
2020-16,30-39,F,2.0
2020-16,30-39,M,3.0
2020-16,40-49,F,5.0
2020-16,40-49,M,12.0
2020-16,50-59,F,17.0
2020-16,50-59,M,59.0
2020-16,60+,F,1409.0
2020-16,60+,M,1141.0
2020-17,20-29,F,0.0
2020-17,20-29,M,0.0
2020-17,30-39,F,1.0
2020-17,30-39,M,2.0
2020-17,40-49,F,3.0
2020-17,40-49,M,12.0
2020-17,50-59,F,12.0
2020-17,50-59,M,31.0
2020-17,60+,F,1097.0
2020-17,60+,M,839.0
2020-18,20-29,F,0.0
2020-18,20-29,M,1.0
2020-18,30-39,F,1.0
2020-18,30-39,M,3.0
2020-18,40-49,F,3.0
2020-18,40-49,M,7.0
2020-18,50-59,F,23.0
2020-18,50-59,M,36.0
2020-18,60+,F,758.0
2020-18,60+,M,591.0
2020-19,20-29,F,0.0
2020-19,20-29,M,1.0
2020-19,30-39,F,0.0
2020-19,30-39,M,1.0
2020-19,40-49,F,3.0
2020-19,40-49,M,8.0
2020-19,50-59,F,13.0
2020-19,50-59,M,22.0
2020-19,60+,F,569.0
2020-19,60+,M,407.0
2020-20,20-29,F,0.0
2020-20,20-29,M,0.0
2020-20,30-39,F,1.0
2020-20,30-39,M,0.0
2020-20,40-49,F,4.0
2020-20,40-49,M,4.0
2020-20,50-59,F,7.0
2020-20,50-59,M,10.0
2020-20,60+,F,399.0
2020-20,60+,M,245.0
2020-21,20-29,F,0.0
2020-21,20-29,M,1.0
2020-21,30-39,F,0.0
2020-21,30-39,M,0.0
2020-21,40-49,F,2.0
2020-21,40-49,M,2.0
2020-21,50-59,F,9.0
2020-21,50-59,M,12.0
2020-21,60+,F,237.0
2020-21,60+,M,200.0
2020-22,20-29,F,1.0
2020-22,20-29,M,0.0
2020-22,30-39,F,0.0
2020-22,30-39,M,0.0
2020-22,40-49,F,0.0
2020-22,40-49,M,2.0
2020-22,50-59,F,6.0
2020-22,50-59,M,2.0
2020-22,60+,F,264.0
2020-22,60+,M,168.0
2020-23,20-29,F,0.0
2020-23,20-29,M,0.0
2020-23,30-39,F,0.0
2020-23,30-39,M,0.0
2020-23,40-49,F,0.0
2020-23,40-49,M,1.0
2020-23,50-59,F,6.0
2020-23,50-59,M,4.0
2020-23,60+,F,160.0
2020-23,60+,M,101.0
2020-24,20-29,F,0.0
2020-24,20-29,M,0.0
2020-24,30-39,F,0.0
2020-24,30-39,M,1.0
2020-24,40-49,F,3.0
2020-24,40-49,M,1.0
2020-24,50-59,F,2.0
2020-24,50-59,M,4.0
2020-24,60+,F,170.0
2020-24,60+,M,83.0
2020-25,20-29,F,0.0
2020-25,20-29,M,0.0
2020-25,30-39,F,0.0
2020-25,30-39,M,0.0
2020-25,40-49,F,1.0
2020-25,40-49,M,0.0
2020-25,50-59,F,1.0
2020-25,50-59,M,1.0
2020-25,60+,F,123.0
2020-25,60+,M,81.0
2020-26,20-29,F,0.0
2020-26,20-29,M,0.0
2020-26,30-39,F,0.0
2020-26,30-39,M,0.0
2020-26,40-49,F,1.0
2020-26,40-49,M,0.0
2020-26,50-59,F,0.0
2020-26,50-59,M,0.0
2020-26,60+,F,66.0
2020-26,60+,M,42.0
2020-27,20-29,F,0.0
2020-27,20-29,M,0.0
2020-27,30-39,F,0.0
2020-27,30-39,M,0.0
2020-27,40-49,F,0.0
2020-27,40-49,M,0.0
2020-27,50-59,F,0.0
2020-27,50-59,M,3.0
2020-27,60+,F,53.0
2020-27,60+,M,31.0
2020-28,20-29,F,0.0
2020-28,20-29,M,0.0
2020-28,30-39,F,0.0
2020-28,30-39,M,0.0
2020-28,40-49,F,0.0
2020-28,40-49,M,1.0
2020-28,50-59,F,3.0
2020-28,50-59,M,1.0
2020-28,60+,F,54.0
2020-28,60+,M,31.0
2020-29,20-29,F,0.0
2020-29,20-29,M,0.0
2020-29,30-39,F,0.0
2020-29,30-39,M,0.0
2020-29,40-49,F,0.0
2020-29,40-49,M,1.0
2020-29,50-59,F,1.0
2020-29,50-59,M,2.0
2020-29,60+,F,39.0
2020-29,60+,M,25.0
2020-30,20-29,F,0.0
2020-30,20-29,M,0.0
2020-30,30-39,F,0.0
2020-30,30-39,M,1.0
2020-30,40-49,F,0.0
2020-30,40-49,M,3.0
2020-30,50-59,F,2.0
2020-30,50-59,M,0.0
