week,work_red,leisure_red,other_red,school_red
2020-06,0.5,3.0,5.25,0.0
2020-07,0.7142857142857143,0.0,4.0,0.42857142857142855
2020-08,-11.285714285714286,-10.0,-9.214285714285714,3.0
2020-09,-11.857142857142858,-15.0,-12.571428571428571,3.0
2020-10,-43.57142857142857,-63.285714285714285,-43.92857142857143,3.0
2020-11,-61.714285714285715,-81.57142857142857,-63.64285714285714,3.0
2020-12,-68.28571428571429,-84.57142857142857,-68.5,3.0
2020-13,-67.57142857142857,-88.57142857142857,-64.28571428571429,3.0
2020-14,-66.14285714285714,-84.28571428571429,-61.71428571428572,3.0
2020-15,-65.85714285714286,-84.85714285714286,-66.42857142857143,3.0
2020-16,-61.285714285714285,-82.14285714285714,-64.92857142857143,3.0
2020-17,-59.0,-78.85714285714286,-60.78571428571429,3.0
2020-18,-42.0,-62.285714285714285,-44.07142857142857,3.0
2020-19,-38.0,-59.42857142857143,-43.214285714285715,3.0
2020-20,-30.857142857142858,-39.142857142857146,-31.857142857142858,3.0
2020-21,-27.142857142857142,-33.42857142857143,-28.214285714285715,3.0
2020-22,-33.142857142857146,-28.0,-26.642857142857142,3.0
2020-23,-23.142857142857142,-22.285714285714285,-23.42857142857143,3.0
2020-24,-20.857142857142858,-17.285714285714285,-19.857142857142858,3.0
2020-25,-20.857142857142858,-14.714285714285714,-17.42857142857143,3.0
2020-26,-20.142857142857142,-12.0,-16.571428571428573,3.0
2020-27,-19.428571428571427,-10.142857142857142,-15.071428571428571,3.0
2020-28,-18.428571428571427,-8.0,-13.785714285714285,3.0
2020-29,-18.285714285714285,-7.714285714285714,-13.714285714285715,3.0
2020-30,-20.0,-6.571428571428571,-13.285714285714286,3.0
2020-31,-24.0,-3.2857142857142856,-11.285714285714286,3.0
2020-32,-40.857142857142854,-5.428571428571429,-13.071428571428571,3.0
2020-33,-37.285714285714285,-5.428571428571429,-12.357142857142856,3.0
2020-34,-26.857142857142858,-6.714285714285714,-14.785714285714285,3.0
2020-35,-21.285714285714285,-5.857142857142857,-12.642857142857142,3.0
2020-36,-20.571428571428573,-4.857142857142857,-11.071428571428571,3.0
2020-37,-18.285714285714285,-4.857142857142857,-8.714285714285714,3.0
2020-38,-19.285714285714285,-11.0,-10.071428571428571,2.0
2020-39,-17.0,-10.571428571428571,-7.142857142857142,1.4285714285714286
2020-40,-15.714285714285714,-12.571428571428571,-7.928571428571429,1.0
2020-41,-15.428571428571429,-16.142857142857142,-9.928571428571429,1.0
2020-42,-16.285714285714285,-19.571428571428573,-13.214285714285715,1.4285714285714286
2020-43,-22.285714285714285,-26.714285714285715,-17.0,2.0
